,open,high,low,close,volume
2021-04-26 13:48:00,37120.0,37140.0,37110.0,37110.0,2442.4455065
2021-04-26 13:49:00,37110.0,37120.0,37100.0,37110.0,3655.48757236
2021-04-26 13:50:00,37100.0,37110.0,37080.0,37080.0,3192.62479042
2021-04-26 13:51:00,37090.0,37100.0,37080.0,37090.0,2343.54890377
2021-04-26 13:52:00,37100.0,37120.0,37090.0,37120.0,2211.92427295
2021-04-26 13:53:00,37110.0,37130.0,37110.0,37120.0,1456.91470597
2021-04-26 13:54:00,37130.0,37130.0,37110.0,37120.0,2922.977227
2021-04-26 13:55:00,37120.0,37120.0,37110.0,37110.0,2970.11582515
2021-04-26 13:56:00,37110.0,37140.0,37110.0,37140.0,5508.59512851
2021-04-26 13:57:00,37130.0,37170.0,37130.0,37170.0,2856.18075641
2021-04-26 13:58:00,37160.0,37180.0,37140.0,37180.0,1753.63760398
2021-04-26 13:59:00,37180.0,37180.0,37140.0,37150.0,3829.29686102
2021-04-26 14:00:00,37140.0,37170.0,37130.0,37160.0,4038.79323337
2021-04-26 14:01:00,37170.0,37250.0,37170.0,37210.0,5723.76035832
2021-04-26 14:02:00,37240.0,37240.0,37150.0,37150.0,4589.83368595
2021-04-26 14:03:00,37170.0,37210.0,37110.0,37150.0,3608.71954544
2021-04-26 14:04:00,37150.0,37210.0,37130.0,37200.0,2402.98474836
2021-04-26 14:05:00,37200.0,37210.0,37140.0,37160.0,2988.70086729
2021-04-26 14:06:00,37170.0,37180.0,37150.0,37170.0,2833.4424063
2021-04-26 14:07:00,37160.0,37200.0,37160.0,37200.0,4517.5032316
2021-04-26 14:08:00,37200.0,37280.0,37190.0,37240.0,7438.24208022
2021-04-26 14:09:00,37230.0,37250.0,37220.0,37230.0,4618.28910682
2021-04-26 14:10:00,37230.0,37270.0,37230.0,37250.0,3757.43778865
2021-04-26 14:11:00,37260.0,37260.0,37220.0,37250.0,5753.72423132
2021-04-26 14:12:00,37250.0,37260.0,37210.0,37220.0,5270.46521577
2021-04-26 14:13:00,37220.0,37230.0,37190.0,37200.0,4457.34869501
2021-04-26 14:14:00,37200.0,37200.0,37150.0,37160.0,5838.82676979
2021-04-26 14:15:00,37160.0,37160.0,37130.0,37140.0,3789.81901316
2021-04-26 14:16:00,37150.0,37210.0,37140.0,37200.0,2714.82056903
2021-04-26 14:17:00,37200.0,37210.0,37190.0,37200.0,2799.28815052
2021-04-26 14:18:00,37200.0,37260.0,37190.0,37240.0,4896.35987146
2021-04-26 14:19:00,37240.0,37260.0,37230.0,37240.0,3391.48157465
2021-04-26 14:20:00,37230.0,37500.0,37230.0,37500.0,16126.97553168
2021-04-26 14:21:00,37500.0,37670.0,37450.0,37670.0,19055.96156342
2021-04-26 14:22:00,37670.0,37710.0,37390.0,37640.0,20984.03948041
2021-04-26 14:23:00,37660.0,37690.0,37610.0,37680.0,13847.2282152
2021-04-26 14:24:00,37690.0,37740.0,37680.0,37730.0,8890.80884659
